   BENCHMARK INFORMATION
benchmark definition:    /u/wel2vw/cpa-symexA.xml
name:                    cpa-symexA
run sets:                sv-comp18
date:                    Sun, 2021-09-26 10:48:10 EDT
tool:                    CPAchecker 1.9
tool executable:         ./cpa.sh
options:                 -symbolicExecution -heap 10000M -benchmark -timelimit 900s
resource limits:
- memory:                15000.0 MB
- time:                  900 s
- cpu cores:             8
hardware requirements:
- cpu cores:             8
- memory:                15000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    doppio01
os:                      Linux-3.10.0-1127.el7.x86_64-x86_64-with-glibc2.17
cpu:                     Intel Xeon Gold 6130 CPU @ 2.10GHz
- cores:                 64
- max frequency:         3700.0 MHz
- turbo boost enabled:   True
ram:                     134655.91398399998 MB
------------------------------------------------------------



sv-comp18
Run set 1 of 1 with options '-symbolicExecution -heap 10000M -benchmark -timelimit 900s' and propertyfile 'None'

inputfile                                                                                               status                    cpu time   wall time        host
ldv-sets/test_add_false-unreach-call_true-termination.i                                                 unknown                       5.48        2.20        None
ldv-sets/test_mutex_double_lock_false-unreach-call_true-termination.i                                   TIMEOUT                     901.27      863.36        None
ldv-sets/test_mutex_double_unlock_false-unreach-call.i                                                  TIMEOUT                     901.23      863.59        None
ldv-sets/test_mutex_unbounded_false-unreach-call.i                                                      TIMEOUT                     900.86      775.57        None
ldv-sets/test_mutex_unlock_at_exit_false-unreach-call.i                                                 TIMEOUT                     901.02      867.85        None
ldv-sets/test_add_true-unreach-call_true-termination.i                                                  unknown                       5.46        1.99        None
ldv-sets/test_mutex_true-unreach-call.i                                                                 TIMEOUT                     901.21      864.38        None
ldv-sets/test_mutex_unbounded_true-unreach-call.i                                                       TIMEOUT                     900.94      782.86        None
loops/array_false-unreach-call_true-termination.i                                                       false(unreach-call)           4.42        1.58        None
loops/bubble_sort_false-unreach-call.i                                                                  false(unreach-call)          13.56        3.77        None
loops/count_up_down_false-unreach-call_true-termination.i                                               false(unreach-call)           4.08        1.51        None
loops/eureka_01_false-unreach-call_true-termination.i                                                   true                         15.44        7.91        None
loops/for_bounded_loop1_false-unreach-call_true-termination.i                                           false(unreach-call)           4.47        1.60        None
loops/insertion_sort_false-unreach-call_true-termination.i                                              false(unreach-call)          35.97       11.70        None
loops/invert_string_false-unreach-call_true-termination.i                                               false(unreach-call)           6.60        2.20        None
loops/linear_search_false-unreach-call.i                                                                false(unreach-call)          16.71        4.39        None
loops/ludcmp_false-unreach-call.i                                                                       false(unreach-call)           9.99        5.11        None
loops/matrix_false-unreach-call_true-termination.i                                                      false(unreach-call)           5.35        1.92        None
loops/n.c24_false-unreach-call.i                                                                        TIMEOUT                     902.05      805.24        None
loops/nec11_false-unreach-call_false-termination.i                                                      false(unreach-call)           4.20        1.59        None
loops/nec20_false-unreach-call_true-termination.i                                                       false(unreach-call)           4.48        1.59        None
loops/s3_false-unreach-call.i                                                                           TIMEOUT                     901.91      774.12        None
loops/string_false-unreach-call_true-termination.i                                                      false(unreach-call)           6.07        2.05        None
loops/sum01_bug02_false-unreach-call_true-termination.i                                                 false(unreach-call)           5.05        1.77        None
loops/sum01_bug02_sum01_bug02_base.case_false-unreach-call_true-termination.i                           false(unreach-call)           4.77        1.68        None
loops/sum01_false-unreach-call_true-termination.i                                                       false(unreach-call)           5.45        1.86        None
loops/sum03_false-unreach-call_true-termination.i                                                       false(unreach-call)           6.01        1.94        None
loops/sum04_false-unreach-call_true-termination.i                                                       false(unreach-call)           5.14        1.87        None
loops/sum_array_false-unreach-call.i                                                                    false(unreach-call)           4.74        1.67        None
loops/terminator_01_false-unreach-call_true-termination.i                                               false(unreach-call)           4.07        1.48        None
loops/terminator_02_false-unreach-call_true-termination.i                                               false(unreach-call)           4.20        1.51        None
loops/terminator_03_false-unreach-call_true-termination.i                                               false(unreach-call)           4.25        1.60        None
loops/trex01_false-unreach-call_true-termination.i                                                      false(unreach-call)           4.58        1.65        None
loops/trex02_false-unreach-call_true-termination.i                                                      false(unreach-call)           4.17        1.55        None
loops/trex03_false-unreach-call_true-termination.i                                                      false(unreach-call)           4.42        1.57        None
loops/verisec_NetBSD-libc__loop_false-unreach-call_true-termination.i                                   false(unreach-call)           4.83        1.72        None
loops/verisec_OpenSER__cases1_stripFullBoth_arr_false-unreach-call_true-termination.i                   false(unreach-call)           5.93        1.98        None
loops/vogal_false-unreach-call.i                                                                        TIMEOUT                     902.21      356.60        None
loops/while_infinite_loop_4_false-unreach-call_true-termination.i                                       false(unreach-call)           4.12        1.50        None
loops/array_true-unreach-call_true-termination.i                                                        true                          3.48        1.33        None
loops/bubble_sort_true-unreach-call_true-termination.i                                                  TIMEOUT                     901.08      848.33        None
loops/count_up_down_true-unreach-call_true-termination.i                                                TIMEOUT                     904.05      597.26        None
loops/eureka_01_true-unreach-call.i                                                                     true                          4.51        1.55        None
loops/eureka_05_true-unreach-call_true-termination.i                                                    true                          9.11        2.71        None
loops/for_infinite_loop_1_true-unreach-call_false-termination.i                                         TIMEOUT                     901.12      870.90        None
loops/for_infinite_loop_2_true-unreach-call_false-termination.i                                         TIMEOUT                     901.13      868.18        None
loops/insertion_sort_true-unreach-call_true-termination.i                                               TIMEOUT                     905.87      496.26        None
loops/invert_string_true-unreach-call_true-termination.i                                                true                          3.61        1.33        None
loops/linear_sea.ch_true-unreach-call.i                                                                 TIMEOUT                     900.89      379.22        None
loops/lu.cmp_true-unreach-call.i                                                                        true                          4.18        1.47        None
loops/matrix_true-unreach-call_true-termination.i                                                       true                          3.43        1.30        None
loops/n.c11_true-unreach-call_false-termination.i                                                       TIMEOUT                     900.94      892.23        None
loops/n.c40_true-unreach-call_true-termination.i                                                        TIMEOUT                     907.28      389.97        None
loops/nec40_true-unreach-call_true-termination.i                                                        TIMEOUT                     906.27      387.83        None
loops/string_true-unreach-call_true-termination.i                                                       true                          7.18        2.29        None
loops/sum01_true-unreach-call_true-termination.i                                                        TIMEOUT                     901.50      598.96        None
loops/sum03_true-unreach-call_false-termination.i                                                       TIMEOUT                     901.07      870.20        None
loops/sum04_true-unreach-call_true-termination.i                                                        true                          3.46        1.32        None
loops/sum_array_true-unreach-call.i                                                                     TIMEOUT                     900.64      865.87        None
loops/terminator_02_true-unreach-call_true-termination.i                                                TIMEOUT                     900.90      868.38        None
loops/terminator_03_true-unreach-call_true-termination.i                                                TIMEOUT                     900.51      634.89        None
loops/trex01_true-unreach-call_true-termination.i                                                       TIMEOUT                     902.36      775.96        None
loops/trex02_true-unreach-call_true-termination.i                                                       TIMEOUT                     900.89      869.55        None
